Year,Type,Geolocation,Season,CASH COSTS,NON-CASH COSTS,IMPUTED COSTS,TOTAL COSTS,GROSS RETURNS,RETURNS ABOVE CASH COSTS,RETURNS ABOVE CASH AND NON-CASH COSTS,NET RETURNS,NET PROFIT-COST RATIO,Cost per kilogram (pesos),Yield per hectare (kg),Farmgate price (pesos/kg),Population,Annual % Change
2002,Corn,PHILIPPINES,Average,5430,1377,4008,10815,13554,8124,6747,2739,0.25,5.65,1915,7.08,81285572,2.08
2002,Corn,PHILIPPINES,Dry,5255,1355,4535,11145,14096,8841,7486,2951,0.26,5.59,1994,7.07,81285572,2.08
2002,Corn,PHILIPPINES,Wet,5594,1398,3516,10508,13046,7452,6054,2538,0.24,5.7,1842,7.08,81285572,2.08
2002,Palay,PHILIPPINES,Average,9325,6964,5068,21357,27483,18158,11194,6126,0.29,6.7,3188,8.62,81285572,2.08
2002,Palay,PHILIPPINES,Dry,9106,6982,5466,21554,27394,18288,11306,5840,0.27,6.91,3118,8.79,81285572,2.08
2002,Palay,PHILIPPINES,Wet,9549,6946,4667,21162,27573,18024,11078,6411,0.3,6.49,3260,8.46,81285572,2.08
2003,Corn,PHILIPPINES,Average,5827,1317,4602,11746,12907,7080,5763,1161,0.1,6.13,1915,6.74,82942837,2.04
2003,Corn,PHILIPPINES,Dry,5487,1306,4961,11754,14254,8767,7461,2500,0.21,5.43,2163,6.59,82942837,2.04
2003,Corn,PHILIPPINES,Wet,6106,1348,4251,11705,12162,6056,4708,457,0.04,6.67,1755,6.93,82942837,2.04
2003,Palay,PHILIPPINES,Average,9472,7322,5610,22404,29791,20319,12997,7387,0.33,6.65,3370,8.84,82942837,2.04
2003,Palay,PHILIPPINES,Dry,9296,7295,5913,22504,29416,20120,12825,6912,0.31,6.85,3283,8.96,82942837,2.04
2003,Palay,PHILIPPINES,Wet,9656,7320,5296,22272,29944,20288,12968,7672,0.34,6.49,3430,8.73,82942837,2.04
2004,Corn,PHILIPPINES,Average,6849,1775,5088,13712,18593,11744,9969,4881,0.36,6.4,2142,8.68,84607501,2.01
2004,Corn,PHILIPPINES,Dry,6395,1837,5536,13768,20999,14604,12767,7231,0.53,6,2295,9.15,84607501,2.01
2004,Corn,PHILIPPINES,Wet,7295,1722,4654,13671,16761,9466,7744,3090,0.23,6.7,2039,8.22,84607501,2.01
2004,Palay,PHILIPPINES,Average,10645,8075,6049,24769,33198,22552,14478,8428,0.34,7.05,3513,9.45,84607501,2.01
2004,Palay,PHILIPPINES,Dry,10173,7843,6291,24307,32627,22454,14611,8320,0.34,6.95,3497,9.33,84607501,2.01
2004,Palay,PHILIPPINES,Wet,11209,8300,5810,25319,33689,22481,14180,8371,0.33,7.18,3524,9.56,84607501,2.01
2005,Corn,PHILIPPINES,Average,7717,1634,5436,14787,17014,9297,7663,2227,0.15,6.87,2151,7.91,86261250,1.95
2005,Corn,PHILIPPINES,Dry,7438,1660,5859,14957,18442,11004,9344,3485,0.23,6.78,2206,8.36,86261250,1.95
2005,Corn,PHILIPPINES,Wet,7994,1583,5004,14581,15540,7546,5963,959,0.07,6.88,2120,7.33,86261250,1.95
2005,Palay,PHILIPPINES,Average,11871,8992,6523,27386,37423,25552,16560,10037,0.37,7.63,3588,10.43,86261250,1.95
2005,Palay,PHILIPPINES,Dry,11753,8982,6874,27609,38020,26267,17285,10412,0.38,7.68,3597,10.57,86261250,1.95
2005,Palay,PHILIPPINES,Wet,12081,8993,6176,27250,36813,24731,15739,9563,0.35,7.61,3581,10.28,86261250,1.95
2006,Corn,PHILIPPINES,Average,7963,1962,5705,15630,21483,13520,11558,5853,0.37,6.61,2366,9.08,87901835,1.9
2006,Corn,PHILIPPINES,Dry,7764,2023,6170,15957,24447,16683,14660,8490,0.53,6.21,2568,9.52,87901835,1.9
2006,Corn,PHILIPPINES,Wet,8195,1922,5255,15372,19436,11241,9319,4064,0.26,6.88,2234,8.7,87901835,1.9
2006,Palay,PHILIPPINES,Average,12122,9165,6749,28036,38535,26412,17247,10498,0.37,7.61,3684,10.46,87901835,1.9
2006,Palay,PHILIPPINES,Dry,12178,9350,7193,28722,40017,27838,18488,11295,0.39,7.77,3695,10.83,87901835,1.9
2006,Palay,PHILIPPINES,Wet,12162,8981,6303,27447,37128,24965,15984,9681,0.35,7.47,3676,10.1,87901835,1.9
2007,Corn,PHILIPPINES,Average,9374,2223,6001,17598,25211,15837,13614,7613,0.43,6.92,2544,9.91,89561377,1.89
2007,Corn,PHILIPPINES,Dry,9539,2225,6604,18368,27227,17688,15463,8859,0.48,7,2623,10.38,89561377,1.89
2007,Corn,PHILIPPINES,Wet,9408,2220,5442,17070,23549,14141,11921,6479,0.38,6.85,2492,9.45,89561377,1.89
2007,Palay,PHILIPPINES,Average,12734,9993,7135,29862,42647,29914,19920,12785,0.43,7.86,3801,11.22,89561377,1.89
2007,Palay,PHILIPPINES,Dry,12657,9651,7523,29831,41392,28735,19084,11561,0.39,8,3729,11.1,89561377,1.89
2007,Palay,PHILIPPINES,Wet,12902,10318,6752,29972,43693,30791,20473,13721,0.46,7.78,3853,11.34,89561377,1.89
2008,Corn,PHILIPPINES,Average,11805,2507,6725,21037,28748,16943,14436,7711,0.37,8.08,2604,11.04,91252326,1.89
2008,Corn,PHILIPPINES,Dry,10886,2490,7395,20771,31885,20999,18509,11114,0.54,7.17,2896,11.01,91252326,1.89
2008,Corn,PHILIPPINES,Wet,12681,2519,6101,21301,26330,13649,11130,5029,0.24,8.93,2385,11.04,91252326,1.89
2008,Palay,PHILIPPINES,Average,15571,12458,8239,36268,53270,37699,25241,17002,0.47,9.62,3770,14.13,91252326,1.89
2008,Palay,PHILIPPINES,Dry,14930,13020,8907,36857,56781,41851,28832,19924,0.54,9.72,3793,14.97,91252326,1.89
2008,Palay,PHILIPPINES,Wet,16260,11875,7588,35723,49853,33593,21718,14130,0.4,9.52,3754,13.28,91252326,1.89
2009,Corn,PHILIPPINES,Average,12361,2009,7460,21830,27278,14917,12908,5448,0.25,8.73,2501,10.91,92946951,1.86
2009,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,92946951,1.86
2009,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,92946951,1.86
2009,Palay,PHILIPPINES,Average,15881,13051,7910,36841,50324,34444,21393,13483,0.37,10.81,3409,14.76,92946951,1.86
2009,Palay,PHILIPPINES,Dry,16610,13882,7917,38409,53773,37162,23280,15363,0.4,10.97,3500,15.36,92946951,1.86
2009,Palay,PHILIPPINES,Wet,14846,11872,7901,34618,45434,30588,18717,10816,0.31,10.55,3280,13.85,92946951,1.86
2010,Corn,PHILIPPINES,Average,12443,2107,8196,22746,28506,16063,13956,5760,0.25,8.91,2552,11.17,94636700,1.82
2010,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,94636700,1.82
2010,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,94636700,1.82
2010,Palay,PHILIPPINES,Average,15663,13609,8757,38029,53859,38196,24587,15830,0.42,10.5,3622,14.87,94636700,1.82
2010,Palay,PHILIPPINES,Dry,16303,14169,8728,39200,55546,39243,25074,16346,0.42,10.77,3640,15.26,94636700,1.82
2010,Palay,PHILIPPINES,Wet,14893,12967,8896,36756,52294,37401,24434,15538,0.42,10.18,3609,14.49,94636700,1.82
2011,Corn,PHILIPPINES,Average,13682,2461,8815,24958,34825,21143,18682,9867,0.4,9.11,2740,12.71,96337913,1.8
2011,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,96337913,1.8
2011,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,96337913,1.8
2011,Palay,PHILIPPINES,Average,16844,14065,9094,40003,55795,38951,24886,15792,0.39,10.88,3678,15.17,96337913,1.8
2011,Palay,PHILIPPINES,Dry,17182,14641,9028,40851,58155,40973,26332,17304,0.42,10.75,3801,15.3,96337913,1.8
2011,Palay,PHILIPPINES,Wet,16339,13436,9260,39035,53858,37519,24083,14823,0.38,10.9,3581,15.04,96337913,1.8
2012,Corn,PHILIPPINES,Average,14182,2515,8849,25546,36271,22089,19574,10725,0.42,8.94,2856,12.7,98032317,1.76
2012,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,98032317,1.76
2012,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,98032317,1.76
2012,Palay,PHILIPPINES,Average,17703,15297,9475,42475,62366,44663,29366,19891,0.47,11.05,3845,16.22,98032317,1.76
2012,Palay,PHILIPPINES,Dry,18305,15785,9380,43470,63683,45378,29593,20213,0.46,11.22,3876,16.43,98032317,1.76
2012,Palay,PHILIPPINES,Wet,16808,14706,9677,41191,61174,44366,29660,19983,0.49,10.78,3821,16.01,98032317,1.76
2013,Corn,PHILIPPINES,Average,13580,2004,5055,20639,35256,21676,19672,14617,0.71,7.17,2878,12.25,99700107,1.7
2013,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,99700107,1.7
2013,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,99700107,1.7
2013,Palay,PHILIPPINES,Average,19715,13580,8765,42060,58878,39163,25583,16818,0.4,11.97,3513,16.76,99700107,1.7
2013,Palay,PHILIPPINES,Dry,19426,12928,8138,40492,57484,38058,25130,16992,0.42,11.39,3555,16.17,99700107,1.7
2013,Palay,PHILIPPINES,Wet,19967,14155,9317,43439,60152,40185,26030,16713,0.38,12.5,3475,17.31,99700107,1.7
2014,Corn,PHILIPPINES,Average,14395,2190,5427,22012,38896,24501,22311,16884,0.77,7.4,2976,13.07,101325201,1.63
2014,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,101325201,1.63
2014,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,101325201,1.63
2014,Palay,PHILIPPINES,Average,20996,17243,11125,49364,80320,59324,42081,30956,0.63,12.33,4002,20.07,101325201,1.63
2014,Palay,PHILIPPINES,Dry,21016,16839,10675,48530,80379,59363,42524,31849,0.66,12.15,3995,20.12,101325201,1.63
2014,Palay,PHILIPPINES,Wet,20984,17558,11472,50014,80240,59256,41698,30226,0.6,12.48,4008,20.02,101325201,1.63
2015,Corn,PHILIPPINES,Average,14550,2064,5546,22160,36127,21577,19513,13967,0.63,7.55,2935,12.31,103031365,1.68
2015,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,103031365,1.68
2015,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,103031365,1.68
2015,Palay,PHILIPPINES,Average,20562,15134,10895,46591,67542,46980,31846,20951,0.45,11.95,3898,17.33,103031365,1.68
2015,Palay,PHILIPPINES,Dry,20568,15064,10388,46020,70292,49724,34660,24272,0.53,11.4,4036,17.42,103031365,1.68
2015,Palay,PHILIPPINES,Wet,20532,15158,11295,46985,65302,44770,29612,18317,0.39,12.4,3789,17.24,103031365,1.68
2016,Corn,PHILIPPINES,Average,14413,1994,5566,21973,34651,20238,18245,12678,0.58,7.56,2906,11.93,104875266,1.79
2016,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,104875266,1.79
2016,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,104875266,1.79
2016,Palay,PHILIPPINES,Average,20207,12048,10453,42708,67427,47220,35172,24719,0.58,11.04,3869,17.43,104875266,1.79
2016,Palay,PHILIPPINES,Dry,20217,11457,9912,41587,68093,47876,36418,26506,0.64,10.49,3964,17.18,104875266,1.79
2016,Palay,PHILIPPINES,Wet,20124,12605,10955,43684,67158,47034,34430,23474,0.54,11.5,3799,17.68,104875266,1.79
2017,Corn,PHILIPPINES,Average,14682,2074,5757,22513,36966,22284,20210,14453,0.64,7.26,3101,11.92,106738501,1.78
2017,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,106738501,1.78
2017,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,106738501,1.78
2017,Palay,PHILIPPINES,Average,20412,12840,11000,44251,72950,52538,39698,28699,0.65,11.05,4006,18.21,106738501,1.78
2017,Palay,PHILIPPINES,Dry,20291,12259,10438,42987,73988,53697,41439,31001,0.72,10.51,4089,18.09,106738501,1.78
2017,Palay,PHILIPPINES,Wet,20465,13370,11514,45349,72254,51789,38419,26905,0.59,11.5,3942,18.33,106738501,1.78
2018,Corn,PHILIPPINES,Average,15461,2409,6225,24095,43526,28065,25656,19431,0.81,7.79,3095,14.07,108568836,1.71
2018,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,108568836,1.71
2018,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,108568836,1.71
2018,Palay,PHILIPPINES,Average,21134,13927,11634,46694,79670,58536,44610,32976,0.71,11.76,3972,20.06,108568836,1.71
2018,Palay,PHILIPPINES,Dry,21386,13356,11278,46019,81031,59645,46289,35012,0.76,11.24,4095,19.79,108568836,1.71
2018,Palay,PHILIPPINES,Wet,21787,14624,12600,49011,78754,56968,42344,29744,0.61,12.65,3873,20.33,108568836,1.71
2019,Corn,PHILIPPINES,Average,16314,2346,6592,25252,42202,25888,23542,16950,0.67,7.96,3170,13.31,110380804,1.67
2019,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,110380804,1.67
2019,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,110380804,1.67
2019,Palay,PHILIPPINES,Average,22067,12360,11891,46319,68561,46494,34134,22243,0.48,11.45,4045,..,110380804,1.67
2019,Palay,PHILIPPINES,Dry,22241,12062,11532,45835,70004,47763,35700,24168,0.53,11.47,3998,..,110380804,1.67
2019,Palay,PHILIPPINES,Wet,22163,12120,12172,46455,62995,40832,28712,16540,0.36,11.38,4083,..,110380804,1.67
2020,Corn,PHILIPPINES,Average,16225,2206,6660,25091,39427,23202,20996,14336,0.57,7.89,3179,12.4,112190977,1.64
2020,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,112190977,1.64
2020,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,112190977,1.64
2020,Palay,PHILIPPINES,Average,22258,12452,12317,47027,68519,46261,33809,21492,0.46,11.5,4089,..,112190977,1.64
2020,Palay,PHILIPPINES,Dry,22573,12235,11973,46780,70921,48348,36113,24140,0.52,11.46,4083,..,112190977,1.64
2020,Palay,PHILIPPINES,Wet,22627,12739,12819,48185,66086,43460,30720,17901,0.37,11.77,4094,..,112190977,1.64
2021,Corn,PHILIPPINES,Average,18063,2545,7287,27894,45941,27878,25333,18047,0.65,8.62,3237,..,113880328,1.51
2021,Corn,PHILIPPINES,Dry,..,..,..,..,..,..,..,..,..,..,..,..,113880328,1.51
2021,Corn,PHILIPPINES,Wet,..,..,..,..,..,..,..,..,..,..,..,..,113880328,1.51
2021,Palay,PHILIPPINES,Average,24258,12709,12953,49920,69600,45341,32632,19680,0.39,12.02,4154,..,113880328,1.51
2021,Palay,PHILIPPINES,Dry,23450,12281,12434,48166,71022,47572,35290,22856,0.47,11.48,4197,..,113880328,1.51
2021,Palay,PHILIPPINES,Wet,25621,13247,13656,52524,68354,42732,29486,15830,0.3,12.75,4121,..,113880328,1.51
